SURVEY_ID,SURVEY_NM,DOMAIN_ID,INSTITUTION_ID,COLLECTION_GRADE,REGION_STAT,LABEL
110031,자전거이용현황,교통·물류,행정안전부,4,False,survey
117099,의료서비스경험조사,보건,보건복지부,1,False,survey
134006,기업무역활동통계,무역·국제수지,관세청,4,False,survey
800003,양산시복지실태조사,복지,경상남도 양산시,3,True,survey
439001,산재보험패널조사,노동,근로복지공단,1,False,survey
761004,포항시여성통계,복지,경상북도 포항시,3,True,survey
417002,공직생활실태조사,정부·재정,한국행정연구원,1,False,survey
803003,창녕군귀농귀촌실태조사,농림,경상남도 창녕군,3,True,survey
205009,광주광역시경기종합지수,경제일반·경기,광주광역시,4,True,survey
208006,세종특별자치시일자리인식실태조사,노동,세종특별자치시,3,True,survey
429001,옥외광고통계,도소매·서비스,한국지방재정공제회,1,False,survey
735004,광양시특산물실태조사,국토이용,전라남도 광양시,4,True,survey
742003,장흥군특산물실태조사,문화·여가,전라남도 장흥군,3,True,survey
733003,순천시청년통계,사회일반,전라남도 순천시,3,True,survey
717002,완주군청년통계,사회일반,전북특별자치도 완주군,4,True,survey
512002,은평구사회조사,사회일반,서울특별시 은평구,3,True,survey
117098,노숙인등의실태조사,복지,보건복지부,1,False,survey
116074,건설공사계약통계,건설,국토교통부,4,False,survey
106031,하천 수생태계 건강성 조사,환경,환경부,2,False,survey
635004,여주시복지실태조사,복지,경기도 여주시,3,True,survey
620004,고양시경제지표조사,경제일반·경기,경기도 고양시,3,True,survey
437001,북한이탈주민실태조사,사회일반,북한이탈주민지원재단(남북하나재단),1,False,survey
215006,전라남도경기종합지수,경제일반·경기,전라남도,4,True,survey
691003,천안시일자리인식실태조사,노동,충청남도 천안시,3,True,survey
668002,양양군사회조사,사회일반,강원특별자치도 양양군,4,True,survey
667002,강원특별자치도고성군사회조사,사회일반,강원특별자치도 고성군,3,True,survey
665002,양구군사회조사,사회일반,강원특별자치도 양구군,3,True,survey
664002,화천군사회조사,사회일반,강원특별자치도 화천군,3,True,survey
663002,철원군사회조사,사회일반,강원특별자치도 철원군,4,True,survey
661002,평창군사회조사,사회일반,강원특별자치도 평창군,4,True,survey
659002,횡성군사회조사,사회일반,강원특별자치도 횡성군,4,True,survey
658002,홍천군사회조사,사회일반,강원특별자치도 홍천군,3,True,survey
656002,속초시사회조사,사회일반,강원특별자치도 속초시,4,True,survey
654002,동해시사회조사,사회일반,강원특별자치도 동해시,3,True,survey
653002,강릉시사회조사,사회일반,강원특별자치도 강릉시,4,True,survey
427001,기업가정신실태조사(개인편/기업편),기업경영,(재)한국청년기업가정신재단,1,False,survey
354005,자동차보험진료비통계,교통·물류,건강보험심사평가원,4,False,survey
436001,가스사고통계,범죄·안전,한국가스안전공사,4,False,survey
142018,소모성자재납품업실태조사,도소매·서비스,중소벤처기업부,1,False,survey
677002,영동군취약계층통계,복지,충청북도 영동군,4,True,survey
435001,월간국내카드승인실적,금융,(사)한국여신전문금융업협회,4,False,survey
207007,울산광역시경기종합지수,경제일반·경기,울산광역시,4,True,survey
206012,대전광역시독거노인등록통계,복지,대전광역시,3,True,survey
750002,완도군어업실태조사,수산,전라남도 완도군,3,True,survey
101084,연금통계,복지,통계청,4,False,survey
434001,문화체육관광산업통계,도소매·서비스,한국문화관광연구원,4,False,survey
430001,전시산업통계조사,도소매·서비스,한국전시산업진흥회,1,False,survey
433001,문화예술활동현황조사,문화.여가,한국문화예술위원회,1,False,survey
